ID;sampleID;plot;block;forest;horizon;Carbon;Nitrogen;pH
S41;M_AS_FS_01_Ae;M_AS_FS_01;1;AS;Ae;6.067;0.42;3.52
S62;M_AS_FS_01_B;M_AS_FS_01;1;AS;B;8.114;0.468;4.07
S14;M_AS_FS_01_F;M_AS_FS_01;1;AS;F;39.148;2.119;3.6
S53;M_AS_FS_01_H;M_AS_FS_01;1;AS;H;19.01;1.36;3.67
S20;M_AS_FS_01_L;M_AS_FS_01;1;AS;L;40.156;1.696;3.89
S69;M_AS_FS_02_Ae;M_AS_FS_02;2;AS;Ae;7.448;0.512;3.28
S64;M_AS_FS_02_B;M_AS_FS_02;2;AS;B;7.197;0.555;3.88
S45;M_AS_FS_02_F;M_AS_FS_02;2;AS;F;36.702;2.094;3.42
S55;M_AS_FS_02_H;M_AS_FS_02;2;AS;H;24.35;1.871;3.39
S22;M_AS_FS_02_L;M_AS_FS_02;2;AS;L;41.615;1.796;3.94
S60;M_AS_FS_03_Ae;M_AS_FS_03;3;AS;Ae;6.315;0.331;3.45
S34;M_AS_FS_03_B;M_AS_FS_03;3;AS;B;8.189;0.349;4.08
S79;M_AS_FS_03_F;M_AS_FS_03;3;AS;F;36.55;2.006;3.5
S52;M_AS_FS_03_H;M_AS_FS_03;3;AS;H;24.09;1.251;3.44
S25;M_AS_FS_03_L;M_AS_FS_03;3;AS;L;41.799;1.636;3.91
S2;M_AS_FS_04_Ae;M_AS_FS_04;4;AS;Ae;5.709;0.321;3.56
S67;M_AS_FS_04_B;M_AS_FS_04;4;AS;B;6.558;0.372;4.09
S74;M_AS_FS_04_F;M_AS_FS_04;4;AS;F;37.636;1.925;3.52
S6;M_AS_FS_04_H;M_AS_FS_04;4;AS;H;29.815;1.361;3.35
S31;M_AS_FS_04_L;M_AS_FS_04;4;AS;L;41.469;1.432;3.83
S61;M_AS_FS_05_Ae;M_AS_FS_05;5;FG;Ae;5.467;0.376;3.6
S3;M_AS_FS_05_B;M_AS_FS_05;5;FG;B;5.171;0.339;4.05
S5;M_AS_FS_05_F;M_AS_FS_05;5;FG;F;36.757;2.389;3.7
S51;M_AS_FS_05_H;M_AS_FS_05;5;FG;H;19.629;1.315;3.46
S28;M_AS_FS_05_L;M_AS_FS_05;5;FG;L;39.906;1.669;3.89
S68;M_FG_FS_01_Ae;M_FG_FS_01;1;FG;Ae;5.889;0.399;3.34
S37;M_FG_FS_01_B;M_FG_FS_01;1;FG;B;7.949;0.477;3.76
S75;M_FG_FS_01_F;M_FG_FS_01;1;FG;F;39.074;2.44;3.45
S9;M_FG_FS_01_H;M_FG_FS_01;1;FG;H;23.439;1.326;3.4
S19;M_FG_FS_01_L;M_FG_FS_01;1;FG;L;42.577;1.884;4.1
S35;M_FG_FS_02_Ae;M_FG_FS_02;2;Mixed;Ae;5.926;0.304;3.31
S73;M_FG_FS_02_B;M_FG_FS_02;2;Mixed;B;6.587;0.315;3.94
S16;M_FG_FS_02_F;M_FG_FS_02;2;Mixed;F;38.097;2.206;3.4
S46;M_FG_FS_02_H;M_FG_FS_02;2;Mixed;H;32.826;1.831;3.22
S23;M_FG_FS_02_L;M_FG_FS_02;2;Mixed;L;42.459;1.665;4.06
S43;M_FG_FS_03_Ae;M_FG_FS_03;3;FG;Ae;7.341;0.294;3.16
S12;M_FG_FS_03_B;M_FG_FS_03;3;FG;B;9.022;0.393;3.82
S76;M_FG_FS_03_F;M_FG_FS_03;3;FG;F;43.116;1.985;3.1
S54;M_FG_FS_03_H;M_FG_FS_03;3;FG;H;41.464;1.721;2.72
S26;M_FG_FS_03_L;M_FG_FS_03;3;FG;L;43.333;1.312;3.83
S1;M_FG_FS_04_Ae;M_FG_FS_04;4;FG;Ae;7.661;0.352;3.18
S63;M_FG_FS_04_B;M_FG_FS_04;4;FG;B;9.596;0.412;3.99
S4;M_FG_FS_04_F;M_FG_FS_04;4;FG;F;40.389;1.764;3.64
S8;M_FG_FS_04_H;M_FG_FS_04;4;FG;H;30.781;1.258;3.03
S17;M_FG_FS_04_L;M_FG_FS_04;4;FG;L;41.731;1.46;4.25
S59;M_FG_FS_05_Ae;M_FG_FS_05;5;Mixed;Ae;4.331;0.286;3.72
S72;M_FG_FS_05_B;M_FG_FS_05;5;Mixed;B;6.454;0.382;4.18
S47;M_FG_FS_05_F;M_FG_FS_05;5;Mixed;F;41.409;2.217;3.62
S7;M_FG_FS_05_H;M_FG_FS_05;5;Mixed;H;24.617;1.499;3.79
S29;M_FG_FS_05_L;M_FG_FS_05;5;Mixed;L;41.301;1.764;4.06
S11;M_FS_1/2_01_Ae;M_FS_1/2_01;1;Mixed;Ae;5.663;0.277;3.3
S39;M_FS_1/2_01_B;M_FS_1/2_01;1;Mixed;B;7.011;0.31;4.02
S48;M_FS_1/2_01_F;M_FS_1/2_01;1;Mixed;F;40.594;1.835;3.51
S10;M_FS_1/2_01_H;M_FS_1/2_01;1;Mixed;H;30.363;1.469;3.3
S18;M_FS_1/2_01_L;M_FS_1/2_01;1;Mixed;L;41.152;1.332;3.93
S33;M_FS_1/2_02_Ae;M_FS_1/2_02;2;FG;Ae;5.076;0.311;3.23
S36;M_FS_1/2_02_B;M_FS_1/2_02;2;FG;B;6.957;0.38;3.92
S13;M_FS_1/2_02_F;M_FS_1/2_02;2;FG;F;39.672;2.047;3.27
S50;M_FS_1/2_02_H;M_FS_1/2_02;2;FG;H;28.914;1.554;3
S21;M_FS_1/2_02_L;M_FS_1/2_02;2;FG;L;41.159;1.407;3.9
S42;M_FS_1/2_03_Ae;M_FS_1/2_03;3;Mixed;Ae;6.732;0.277;3.28
S66;M_FS_1/2_03_B;M_FS_1/2_03;3;Mixed;B;10.107;0.403;3.95
S44;M_FS_1/2_03_F;M_FS_1/2_03;3;Mixed;F;41.957;1.688;3.35
S15;M_FS_1/2_03_H;M_FS_1/2_03;3;Mixed;H;31.684;1.192;3.11
S24;M_FS_1/2_03_L;M_FS_1/2_03;3;Mixed;L;39.913;1.399;3.93
S58;M_FS_1/2_04_Ae;M_FS_1/2_04;4;Mixed;Ae;7.057;0.687;3.22
S65;M_FS_1/2_04_B;M_FS_1/2_04;4;Mixed;B;7.485;0.441;4.03
S78;M_FS_1/2_04_F;M_FS_1/2_04;4;Mixed;F;39.016;2.233;3.63
S49;M_FS_1/2_04_H;M_FS_1/2_04;4;Mixed;H;39.439;2.351;3.05
S30;M_FS_1/2_04_L;M_FS_1/2_04;4;Mixed;L;43.026;1.822;4.17
S56;M_FS_1/2_05_Ae;M_FS_1/2_05;5;AS;Ae;6.644;0.447;3.38
S81;M_FS_1/2_05_B;M_FS_1/2_05;5;AS;B;5.789;0.345;4.1
S77;M_FS_1/2_05_F;M_FS_1/2_05;5;AS;F;40.136;2.16;3.74
S80;M_FS_1/2_05_H;M_FS_1/2_05;5;AS;H;22.29;1.435;3.48
S27;M_FS_1/2_05_L;M_FS_1/2_05;5;AS;L;40.797;1.469;3.98
